Name,Address,Menu
Boba Guys,"11 Waverly Pl New York, NY 10002","Milk Tea, Thai Milk Tea"
Bubble Tea & Crepes,"251 5th Ave, New York, NY 10016","Green Milk Tea, Thai Milk Tea"
Bubbly Tea,"55B Bayard St New York, NY 10013","Milk Tea, Coffee Milk Tea"
Cafe East,"2920 Broadway, New York, NY 10027","Almond Milk Tea, Green Milk Tea"
Coco Bubble Tea,"129 E 45th St New York, NY 10017","Coffee Milk Tea, Almond Milk Tea"
Coco Bubble Tea,"1384 Broadway, New York, NY 10018","Milk Tea, Green Milk Tea"
Coco Bubble Tea,"33 St Mark's Pl New York, NY 10003","Almond Milk Tea, Green Milk Tea"
Coco Bubble Tea,"38 Lexington Ave New York, NY 10010","Milk Tea, Thai Milk Tea"
Coco Bubble Tea,"79 Division St New York, NY 10002","Milk Tea, Green Milk Tea"
Coco Bubble Tea,"118 W 72nd St New York, NY 10023","Coffee Milk Tea, Almond Milk Tea"
Culture Tea Bar,"3111 Broadway, New York, NY 10027","Milk Tea, Green Milk Tea"
Gong Cha,"12 W 32nd St New York, NY 10001","Green Milk Tea, Thai Milk Tea"
Gong Cha,"209 E 14th St New York, NY 10003","Milk Tea, Thai Milk Tea"
Gong Cha,"75 W 38th St, New York, NY 10018","Almond Milk Tea, Green Milk Tea"
Gong Cha,"1 Catherine St New York, NY 10038","Milk Tea, Green Milk Tea"
Happy Tea Time,"98 Walker St New York, NY 10013","Coffee Milk Tea, Almond Milk Tea"
Hawa Smoothies & Bubble Tea,"422 E 14th St New York, NY 10009","Almond Milk Tea, Green Milk Tea"
Juicy Cube,"674 Lexington Ave, New York, NY 10022","Milk Tea, Thai Milk Tea"
Jupioca,"123 W 3rd St New York, NY 10012","Milk Tea, Green Milk Tea"
Jupioca,"200 W14th St New York, NY 10011","Green Milk Tea, Thai Milk Tea"
Jupioca,"113 Church St New York, NY 10007","Milk Tea, Thai Milk Tea"
Kung Fu Tea,"11 West 32nd St New York, NY 10001","Almond Milk Tea, Green Milk Tea"
Kung Fu Tea,"28 St Marks Pl New York, NY 10003","Milk Tea, Thai Milk Tea"
Kung Fu Tea,"31 Waverly Pl New York, NY 10003","Coffee Milk Tea, Almond Milk Tea"
Kung Fu Tea,"73 Chrystie St New York, NY 10002","Milk Tea, Thai Milk Tea"
Kung Fu Tea,"315 Greenwich St New York, NY 10013","Milk Tea, Thai Milk Tea"
Kung Fu Tea,"234 Canal St New York, NY 10013","Almond Milk Tea, Green Milk Tea"
Loving Tea,"196 Canal St New York, NY 10013","Milk Tea, Green Milk Tea"
Nohohon Tea,"9 St Marks Pl New York, NY 10003","Milk Tea, Thai Milk Tea"
Panda Cafe,"124A Hester St New York, NY 10002","Milk Tea, Green Milk Tea"
PaTea,"227 E 14th St, New York, NY 10003","Milk Tea, Thai Milk Tea"
PaTea,"135 Mott St New York, NY 10013","Almond Milk Tea, Green Milk Tea"
Puff Cha Ramen,"457 W 50th St New York, NY 10019","Milk Tea, Green Milk Tea"
Shiny Tea,"2667 Broadway, New York, NY 10025","Milk Tea, Thai Milk Tea"
Smoocha Tea & Juice Bar,"315 5th Ave New York, NY 10016","Almond Milk Tea, Green Milk Tea"
Tea Magic,"2878 Broadway New York, NY 10025","Green Milk Tea, Thai Milk Tea"
Tea Ren Tea,"73 Mott St New York, NY 10013","Milk Tea, Thai Milk Tea"
Teado Tea Shop,"145D Hester St New York, NY 10002","Milk Tea, Thai Milk Tea"
Vivi Bubble Tea,"170 W 23rd St, New York, NY 10011","Milk Tea, Green Milk Tea"
Vivi Bubble Tea,"18 W 14th St New York, NY 10011","Almond Milk Tea, Green Milk Tea"
Vivi Bubble Tea,"183 Hester St New York, NY 10013","Coffee Milk Tea, Almond Milk Tea"
Vivi Bubble Tea,"205 Allen St New York, NY 10002","Milk Tea, Thai Milk Tea"
Vivi Bubble Tea,"226 E 14th St New York, NY 10003","Milk Tea, Green Milk Tea"
Vivi Bubble Tea,"607 9th Ave, New York, NY 10036","Almond Milk Tea, Green Milk Tea"
Vivi Bubble Tea,"65 W 8th St New York, NY 10011","Coffee Milk Tea, Almond Milk Tea"
Vivi Bubble Tea,"49 Bayard St New York, NY 10013","Green Milk Tea, Thai Milk Tea"
Vivi Bubble Tea,"2 E Broadway New York, NY 10038","Coffee Milk Tea, Almond Milk Tea"
Yaya Tea Garden,"206 Grand St New York, NY 10013","Milk Tea, Thai Milk Tea"
Harmony,"390 Manhattan Ave New York, NY 10026","Milk Tea, Green Milk Tea"
Balloon,"61 Lexington Ave, New York, NY 10010","Milk Tea, Green Milk Tea"
